Category,Label,Text
literature,3,power honesty deepfelt emotions dramatic works embody original concept tragedy
physics,0,experimental discovery diffraction electrons crystals
medicine,1,discoveries connection biological combustion processes special reference vitamin C catalysis fumaric acid
chemistry,4,investigations carbohydrates vitamin C
physics,0,experimental discovery diffraction electrons crystals
peace,2,tireless effort support League Nations disarmament peace
literature,3,artistic power truth depicted human conflict well fundamental aspects contemporary life novelcycle ILes ThibaultI
chemistry,4,investigations carotenoids flavins vitamins B2
physics,0,demonstrations existence new radioactive elements produced neutron irradiation related discovery nuclear reactions brought slow neutrons
chemistry,4,work carotenoids vitamins
medicine,1,discovery role played sinus aortic mechanisms regulation respiration
peace,2,carried work Fridtjof Nansen benefit refugees across Europe
literature,3,rich truly epic descriptions peasant life China biographical masterpieces
medicine,1,discovery antibacterial effects prontosil
physics,0,invention development cyclotron results obtained especially regard artificial radioactive elements
chemistry,4,work polymethylenes higher terpenes
chemistry,4,work sex hormones
literature,3,deep understanding countrys peasantry exquisite art portrayed way life relationship Nature
medicine,1,discovery vitamin K
medicine,1,discovery chemical nature vitamin K
chemistry,4,work use isotopes tracers study chemical processes
physics,0,contribution development molecular ray method discovery magnetic moment proton
medicine,1,discoveries relating highly differentiated functions single nerve fibres
literature,3,rare strength fertility poetic imagination combined intellectual curiosity wide scope bold freshly creative style
medicine,1,discoveries relating highly differentiated functions single nerve fibres
chemistry,4,discovery fission heavy nuclei
peace,2,great work performed war behalf humanity
peace,2,great work performed war behalf humanity
peace,2,great work performed war behalf humanity
physics,0,resonance method recording magnetic properties atomic nuclei
physics,0,discovery Exclusion Principle also called Pauli Principle
literature,3,lyric poetry inspired powerful emotions made name symbol idealistic aspirations entire Latin American world
chemistry,4,research inventions agricultural nutrition chemistry especially fodder preservation method
peace,2,indefatigable work international understanding pivotal role establishing United Nations
medicine,1,discovery penicillin curative effect various infectious diseases
medicine,1,discovery penicillin curative effect various infectious diseases
medicine,1,discovery penicillin curative effect various infectious diseases
peace,2,contribution creation peacepromoting religious brotherhood across national boundaries
physics,0,invention apparatus produce extremely high pressures discoveries made therewith field high pressure physics
chemistry,4,discovery enzymes crystallized
chemistry,4,preparation enzymes virus proteins pure form
chemistry,4,preparation enzymes virus proteins pure form
medicine,1,discovery production mutations means Xray irradiation
peace,2,lifelong work cause peace
literature,3,inspired writings growing boldness penetration exemplify classical humanitarian ideals high qualities style
medicine,1,discovery course catalytic conversion glycogen
medicine,1,discovery part played hormone anterior pituitary lobe metabolism sugar
physics,0,investigations physics upper atmosphere especially discovery socalled Appleton layer
literature,3,comprehensive artistically significant writings human problems conditions presented fearless love truth keen psychological insight
chemistry,4,investigations plant products biological importance especially alkaloids
peace,2,pioneering work international peace movement compassionate effort relieve human suffering thereby promoting fraternity nations
peace,2,pioneering work international peace movement compassionate effort relieve human suffering thereby promoting fraternity nations
medicine,1,discovery course catalytic conversion glycogen
medicine,1,discovery high efficiency DDT contact poison several arthropods
literature,3,outstanding pioneer contribution presentday poetry
chemistry,4,research electrophoresis adsorption analysis especially discoveries concerning complex nature serum proteins
physics,0,development Wilson cloud chamber method discoveries therewith fields nuclear physics cosmic radiation
medicine,1,discovery therapeutic value leucotomy certain psychoses
chemistry,4,contributions field chemical thermodynamics particularly concerning behaviour substances extremely low temperatures
medicine,1,discovery functional organization interbrain coordinator activities internal organs
literature,3,powerful artistically unique contribution modern American novel
peace,2,lifelong effort conquer hunger want thereby helping remove major cause military conflict war
physics,0,prediction existence mesons basis theoretical work nuclear forces
literature,3,recognition varied significant writings champions humanitarian ideals freedom thought
peace,2,work mediator Palestine 19481949
medicine,1,discoveries relating hormones adrenal cortex structure biological effects
medicine,1,discoveries relating hormones adrenal cortex structure biological effects
medicine,1,discoveries relating hormones adrenal cortex structure biological effects
chemistry,4,discovery development diene synthesis
physics,0,development photographic method studying nuclear processes discoveries regarding mesons made method
chemistry,4,discovery development diene synthesis
peace,2,devoted life fight war promotion social justice brotherhood among men nations
literature,3,artistic vigour true independence mind endeavours poetry find answers eternal questions confronting mankind
physics,0,pioneer work transmutation atomic nuclei artificially accelerated atomic particles
physics,0,pioneer work transmutation atomic nuclei artificially accelerated atomic particles
chemistry,4,discoveries chemistry transuranium elements
medicine,1,discoveries concerning yellow fever combat
chemistry,4,discoveries chemistry transuranium elements
physics,0,development new methods nuclear magnetic precision measurements discoveries connection therewith
chemistry,4,invention partition chromatography
peace,2,altruism reverence life tireless humanitarian work helped making idea brotherhood men nations living one
medicine,1,discovery streptomycin first antibiotic effective tuberculosis
chemistry,4,invention partition chromatography
physics,0,development new methods nuclear magnetic precision measurements discoveries connection therewith
literature,3,deep spiritual insight artistic intensity novels penetrated drama human life
peace,2,proposing supervising plan economic recovery Europe
medicine,1,discovery citric acid cycle
medicine,1,discovery coenzyme importance intermediary metabolism
physics,0,demonstration phase contrast method especially invention phase contrast microscope
chemistry,4,discoveries field macromolecular chemistry
literature,3,mastery historical biographical description well brilliant oratory defending exalted human values
medicine,1,discovery ability poliomyelitis viruses grow cultures various types tissue
medicine,1,discovery ability poliomyelitis viruses grow cultures various types tissue
medicine,1,discovery ability poliomyelitis viruses grow cultures various types tissue
chemistry,4,research nature chemical bond application elucidation structure complex substances
chemistry,4,research nature chemical bond application elucidation structure complex substances
physics,0,fundamental research quantum mechanics especially statistical interpretation wavefunction
physics,0,coincidence method discoveries made therewith
literature,3,mastery art narrative recently demonstrated IThe Old Man SeaI influence exerted contemporary style
peace,2,efforts heal wounds war providing help protection refugees world
peace,2,efforts heal wounds war providing help protection refugees world
literature,3,vivid epic power renewed great narrative art Iceland
physics,0,precision determination magnetic moment electron
physics,0,discoveries concerning fine structure hydrogen spectrum
medicine,1,discoveries concerning nature mode action oxidation enzymes
chemistry,4,work biochemically important sulphur compounds especially first synthesis polypeptide hormone
medicine,1,discoveries concerning heart catheterization pathological changes circulatory system
medicine,1,discoveries concerning heart catheterization pathological changes circulatory system
physics,0,researches semiconductors discovery transistor effect
chemistry,4,researches mechanism chemical reactions
chemistry,4,researches mechanism chemical reactions
physics,0,researches semiconductors discovery transistor effect
physics,0,researches semiconductors discovery transistor effect
physics,0,researches semiconductors discovery transistor effect
medicine,1,discoveries concerning heart catheterization pathological changes circulatory system
literature,3,lyrical poetry Spanish language constitutes example high spirit artistical purity
physics,0,penetrating investigation socalled parity laws led important discoveries regarding elementary particles
peace,2,crucial contribution deployment United Nations Emergency Force wake Suez Crisis
chemistry,4,work nucleotides nucleotide coenzymes
physics,0,penetrating investigation socalled parity laws led important discoveries regarding elementary particles
literature,3,important literary production clearsighted earnestness illuminates problems human conscience times
medicine,1,discoveries relating synthetic compounds inhibit action certain body substances especially action vascular system skeletal muscles
chemistry,4,work structure proteins especially insulin
chemistry,4,work structure proteins especially insulin
peace,2,efforts help refugees leave camps return life freedom dignity
medicine,1,discovery genes act regulating definite chemical events
medicine,1,discoveries concerning genetic recombination organization genetic material bacteria
literature,3,important achievement contemporary lyrical poetry field great Russian epic tradition
physics,0,discovery interpretation Cherenkov effect
physics,0,discovery interpretation Cherenkov effect
physics,0,discovery interpretation Cherenkov effect
medicine,1,discovery genes act regulating definite chemical events
medicine,1,discovery mechanisms biological synthesis ribonucleic acid deoxyribonucleic acid
chemistry,4,discovery development polarographic methods analysis
physics,0,discovery antiproton
physics,0,discovery antiproton
medicine,1,discovery mechanisms biological synthesis ribonucleic acid deoxyribonucleic acid
peace,2,longstanding contribution cause disarmament peace
literature,3,lyrical poetry classical fire expresses tragic experience life times
medicine,1,discovery acquired immunological tolerance
physics,0,invention bubble chamber
medicine,1,discovery acquired immunological tolerance
literature,3,soaring flight evocative imagery poetry visionary fashion reflects conditions time
peace,2,nonviolent struggle apartheid
chemistry,4,method use carbon14 age determination archaeology geology geophysics branches science
physics,0,researches concerning resonance absorption gamma radiation discovery connection effect bears name
peace,2,developing UN effective constructive international organization capable giving life principles aims expressed UN Charter
medicine,1,discoveries physical mechanism stimulation within cochlea
literature,3,epic force traced themes depicted human destinies drawn history country
chemistry,4,research carbon dioxide assimilation plants
physics,0,pioneering studies electron scattering atomic nuclei thereby achieved discoveries concerning structure nucleons
medicine,1,discoveries concerning molecular structure nucleic acids significance information transfer living material
medicine,1,discoveries concerning molecular structure nucleic acids significance information transfer living material
medicine,1,discoveries concerning molecular structure nucleic acids significance information transfer living material
peace,2,fight nuclear arms race East West
peace,2,fight nuclear arms race East West
chemistry,4,studies structures globular proteins
chemistry,4,studies structures globular proteins
physics,0,pioneering theories condensed matter especially liquid helium
literature,3,realistic imaginative writings combining sympathetic humour keen social perception
medicine,1,discoveries concerning ionic mechanisms involved excitation inhibition peripheral central portions nerve cell membrane
medicine,1,discoveries concerning ionic mechanisms involved excitation inhibition peripheral central portions nerve cell membrane
medicine,1,discoveries concerning ionic mechanisms involved excitation inhibition peripheral central portions nerve cell membrane
physics,0,discoveries concerning nuclear shell structure
physics,0,contributions theory atomic nucleus elementary particles particularly discovery application fundamental symmetry principles
peace,2,promoting principles Geneva Convention cooperation UN
peace,2,promoting principles Geneva Convention cooperation UN
peace,2,promoting principles Geneva Convention cooperation UN
peace,2,promoting principles Geneva Convention cooperation UN
literature,3,eminent lyrical writing inspired deep feeling Hellenic world culture
physics,0,discoveries concerning nuclear shell structure
chemistry,4,discoveries field chemistry technology high polymers
chemistry,4,discoveries field chemistry technology high polymers
physics,0,fundamental work field quantum electronics led construction oscillators amplifiers based maserlaser principle
literature,3,work rich ideas filled spirit freedom quest truth exerted farreaching influence age
peace,2,nonviolent struggle civil rights AfroAmerican population
physics,0,fundamental work field quantum electronics led construction oscillators amplifiers based maserlaser principle
medicine,1,discoveries concerning mechanism regulation cholesterol fatty acid metabolism
physics,0,fundamental work field quantum electronics led construction oscillators amplifiers based maserlaser principle
medicine,1,discoveries concerning mechanism regulation cholesterol fatty acid metabolism
chemistry,4,determinations Xray techniques structures important biochemical substances
chemistry,4,outstanding achievements art organic synthesis
medicine,1,discoveries concerning genetic control enzyme virus synthesis
medicine,1,discoveries concerning genetic control enzyme virus synthesis
medicine,1,discoveries concerning genetic control enzyme virus synthesis
peace,2,effort enhance solidarity nations reduce difference rich poor states
physics,0,fundamental work quantum electrodynamics deepploughing consequences physics elementary particles
literature,3,artistic power integrity epic given expression historic phase life Russian people
physics,0,fundamental work quantum electrodynamics deepploughing consequences physics elementary particles
physics,0,fundamental work quantum electrodynamics deepploughing consequences physics elementary particles
medicine,1,discoveries concerning hormonal treatment prostatic cancer
literature,3,profoundly characteristic narrative art motifs life Jewish people
chemistry,4,fundamental work concerning chemical bonds electronic structure molecules molecular orbital method
medicine,1,discovery tumourinducing viruses
literature,3,outstanding lyrical dramatic writing interprets Israels destiny touching strength
physics,0,discovery development optical methods studying Hertzian resonances atoms
medicine,1,discoveries concerning primary physiological chemical visual processes eye
medicine,1,discoveries concerning primary physiological chemical visual processes eye
chemistry,4,studies extremely fast chemical reactions effected disturbing equilibrium means short pulses energy
literature,3,vivid literary achievement deeprooted national traits traditions Indian peoples Latin America
chemistry,4,studies extremely fast chemical reactions effected disturbing equilibrium means short pulses energy
chemistry,4,studies extremely fast chemical reactions effected disturbing equilibrium means short pulses energy
medicine,1,discoveries concerning primary physiological chemical visual processes eye
physics,0,contributions theory nuclear reactions especially discoveries concerning energy production stars
medicine,1,interpretation genetic code function protein synthesis
medicine,1,interpretation genetic code function protein synthesis
chemistry,4,discovery reciprocal relations bearing name fundamental thermodynamics irreversible processes
peace,2,struggle ensure rights man stipulated UN Declaration
medicine,1,interpretation genetic code function protein synthesis
physics,0,decisive contributions elementary particle physics particular discovery large number resonance states made possible development technique using hydrogen bubble chamber data analysis
literature,3,narrative mastery great sensibility expresses essence Japanese mind
chemistry,4,contributions development concept conformation application chemistry
literature,3,writing new forms novel drama destitution modern man acquires elevation
economics,5,developed applied dynamic models analysis economic processes
physics,0,contributions discoveries concerning classification elementary particles interactions
economics,5,developed applied dynamic models analysis economic processes
peace,2,creating international legislation insuring certain norms working conditions every country
medicine,1,discoveries concerning replication mechanism genetic structure viruses
medicine,1,discoveries concerning replication mechanism genetic structure viruses
medicine,1,discoveries concerning replication mechanism genetic structure viruses
chemistry,4,contributions development concept conformation application chemistry
physics,0,fundamental work discoveries magnetohydrodynamics fruitful applications different parts plasma physics
physics,0,fundamental work discoveries concerning antiferromagnetism ferrimagnetism led important applications solid state physics
peace,2,given wellfounded hope green revolution
chemistry,4,discovery sugar nucleotides role biosynthesis carbohydrates
literature,3,ethical force pursued indispensable traditions Russian literature
economics,5,scientific work developed static dynamic economic theory actively contributed raising level analysis economic science
medicine,1,discoveries concerning humoral transmitters nerve terminals mechanism storage release inactivation
medicine,1,discoveries concerning humoral transmitters nerve terminals mechanism storage release inactivation
medicine,1,discoveries concerning humoral transmitters nerve terminals mechanism storage release inactivation
peace,2,paving way meaningful dialogue East West
physics,0,invention development holographic method
economics,5,empirically founded interpretation economic growth led new deepened insight economic social structure process development
chemistry,4,contributions knowledge electronic structure geometry molecules particularly free radicals
medicine,1,discoveries concerning mechanisms action hormones
literature,3,poetry action elemental force brings alive continents destiny dreams
literature,3,writing combination broad perspective time sensitive skill characterization contributed renewal German literature
medicine,1,discoveries concerning chemical structure antibodies
physics,0,jointly developed theory superconductivity usually called BCStheory
chemistry,4,contribution understanding connection chemical structure catalytic activity active centre ribonuclease molecule
chemistry,4,work ribonuclease especially concerning connection amino acid sequence biologically active conformation
chemistry,4,contribution understanding connection chemical structure catalytic activity active centre ribonuclease molecule
physics,0,jointly developed theory superconductivity usually called BCStheory
physics,0,jointly developed theory superconductivity usually called BCStheory
economics,5,pioneering contributions general economic equilibrium theory welfare theory
economics,5,pioneering contributions general economic equilibrium theory welfare theory
physics,0,jointly developed theory superconductivity usually called BCStheory
medicine,1,discoveries concerning chemical structure antibodies
physics,0,theoretical predictions properties supercurrent tunnel barrier particular phenomena generally known Josephson effects
chemistry,4,pioneering work performed independently chemistry organometallic called sandwich compounds
chemistry,4,pioneering work performed independently chemistry organometallic called sandwich compounds
peace,2,jointly negotiated cease fire Vietnam 1973
economics,5,development inputoutput method application important economic problems
medicine,1,discoveries concerning organization elicitation individual social behaviour patterns
physics,0,experimental discoveries regarding tunneling phenomena semiconductors superconductors respectively
physics,0,experimental discoveries regarding tunneling phenomena semiconductors superconductors respectively
medicine,1,discoveries concerning organization elicitation individual social behaviour patterns
literature,3,epic psychological narrative art introduced new continent literature
peace,2,jointly negotiated cease fire Vietnam 1973
medicine,1,discoveries concerning organization elicitation individual social behaviour patterns
chemistry,4,fundamental achievements theoretical experimental physical chemistry macromolecules
literature,3,narrative art farseeing lands ages service freedom
economics,5,pioneering work theory money economic fluctuations penetrating analysis interdependence economic social institutional phenomena
literature,3,writings catch dewdrop reflect cosmos
medicine,1,discoveries concerning structural functional organization cell
physics,0,pioneering research radio astrophysics Ryle observations inventions particular aperture synthesis technique Hewish decisive role discovery pulsars
physics,0,pioneering research radio astrophysics Ryle observations inventions particular aperture synthesis technique Hewish decisive role discovery pulsars
medicine,1,discoveries concerning structural functional organization cell
peace,2,contribution stabilize conditions Pacific rim area signing Nuclear NonProliferation Treaty
peace,2,efforts secure develop human rights throughout world
economics,5,pioneering work theory money economic fluctuations penetrating analysis interdependence economic social institutional phenomena
medicine,1,discoveries concerning structural functional organization cell
chemistry,4,work stereochemistry enzymecatalyzed reactions
chemistry,4,research stereochemistry organic molecules reactions
medicine,1,discoveries concerning interaction tumour viruses genetic material cell
physics,0,discovery connection collective motion particle motion atomic nuclei development theory structure atomic nucleus based connection
physics,0,discovery connection collective motion particle motion atomic nuclei development theory structure atomic nucleus based connection
physics,0,discovery connection collective motion particle motion atomic nuclei development theory structure atomic nucleus based connection
economics,5,contributions theory optimum allocation resources
economics,5,contributions theory optimum allocation resources
literature,3,distinctive poetry great artistic sensitivity interpreted human values sign outlook life illusions
medicine,1,discoveries concerning interaction tumour viruses genetic material cell
medicine,1,discoveries concerning interaction tumour viruses genetic material cell
peace,2,struggle human rights Soviet Union disarmament cooperation nations
economics,5,achievements fields consumption analysis monetary history theory demonstration complexity stabilization policy
chemistry,4,studies structure boranes illuminating problems chemical bonding
peace,2,courageous efforts founding movement put end violent conflict Northern Ireland
physics,0,pioneering work discovery heavy elementary particle new kind
physics,0,pioneering work discovery heavy elementary particle new kind
medicine,1,discoveries concerning new mechanisms origin dissemination infectious diseases
medicine,1,discoveries concerning new mechanisms origin dissemination infectious diseases
peace,2,courageous efforts founding movement put end violent conflict Northern Ireland
literature,3,human understanding subtle analysis contemporary culture combined work
physics,0,fundamental theoretical investigations electronic structure magnetic disordered systems
economics,5,pathbreaking contribution theory international trade international capital movements
economics,5,pathbreaking contribution theory international trade international capital movements
physics,0,fundamental theoretical investigations electronic structure magnetic disordered systems
physics,0,fundamental theoretical investigations electronic structure magnetic disordered systems
medicine,1,discoveries concerning peptide hormone production brain
medicine,1,development radioimmunoassays peptide hormones
chemistry,4,contributions nonequilibrium thermodynamics particularly theory dissipative structures
medicine,1,discoveries concerning peptide hormone production brain
peace,2,worldwide respect human rights
literature,3,creative poetic writing illuminates mans condition cosmos presentday society time representing great renewal traditions Spanish poetry wars
